Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220705194611,192.168.1.2,37274,192.168.1.3,5001,1,108.0-109.0,193512168,1548097344
20220705194612,192.168.1.2,37274,192.168.1.3,5001,1,109.0-110.0,194392552,1555140416
20220705194613,192.168.1.2,37274,192.168.1.3,5001,1,110.0-111.0,196777408,1574219264
20220705194614,192.168.1.2,37274,192.168.1.3,5001,1,111.0-112.0,192175664,1537405312
20220705194615,192.168.1.2,37274,192.168.1.3,5001,1,112.0-113.0,192045344,1536362752
20220705194616,192.168.1.2,37274,192.168.1.3,5001,1,113.0-114.0,195430768,1563446144
20220705194617,192.168.1.2,37274,192.168.1.3,5001,1,114.0-115.0,194114536,1552916288
20220705194618,192.168.1.2,37274,192.168.1.3,5001,1,115.0-116.0,190577072,1524616576
20220705194619,192.168.1.2,37274,192.168.1.3,5001,1,116.0-117.0,189485280,1515882240
20220705194620,192.168.1.2,37274,192.168.1.3,5001,1,117.0-118.0,190113712,1520909696
20220705194621,192.168.1.2,37274,192.168.1.3,5001,1,118.0-119.0,186101304,1488810432
20220705194622,192.168.1.2,37274,192.168.1.3,5001,1,119.0-120.0,197249456,1577995648
20220705194623,192.168.1.2,37274,192.168.1.3,5001,1,120.0-121.0,195064424,1560515392
20220705194624,192.168.1.2,37274,192.168.1.3,5001,1,121.0-122.0,190933280,1527466240
20220705194625,192.168.1.2,37274,192.168.1.3,5001,1,122.0-123.0,190330912,1522647296
20220705194626,192.168.1.2,37274,192.168.1.3,5001,1,123.0-124.0,191616736,1532933888
20220705194627,192.168.1.2,37274,192.168.1.3,5001,1,124.0-125.0,184790864,1478326912
20220705194628,192.168.1.2,37274,192.168.1.3,5001,1,125.0-126.0,192992336,1543938688
20220705194629,192.168.1.2,37274,192.168.1.3,5001,1,126.0-127.0,189327448,1514619584
20220705194630,192.168.1.2,37274,192.168.1.3,5001,1,127.0-128.0,183554272,1468434176
20220705194631,192.168.1.2,37274,192.168.1.3,5001,1,128.0-129.0,153758776,1230070208
20220705194632,192.168.1.2,37274,192.168.1.3,5001,1,129.0-130.0,188791688,1510333504
20220705194633,192.168.1.2,37274,192.168.1.3,5001,1,130.0-131.0,194201416,1553611328
20220705194634,192.168.1.2,37274,192.168.1.3,5001,1,131.0-132.0,180286136,1442289088
20220705194635,192.168.1.2,37274,192.168.1.3,5001,1,132.0-133.0,181836944,1454695552
20220705194636,192.168.1.2,37274,192.168.1.3,5001,1,133.0-134.0,198355728,1586845824
20220705194637,192.168.1.2,37274,192.168.1.3,5001,1,134.0-135.0,188074928,1504599424
20220705194638,192.168.1.2,37274,192.168.1.3,5001,1,135.0-136.0,185110872,1480886976
20220705194639,192.168.1.2,37274,192.168.1.3,5001,1,136.0-137.0,191647144,1533177152
20220705194640,192.168.1.2,37274,192.168.1.3,5001,1,137.0-138.0,190077512,1520620096
20220705194641,192.168.1.2,37274,192.168.1.3,5001,1,138.0-139.0,196884560,1575076480
20220705194642,192.168.1.2,37274,192.168.1.3,5001,1,139.0-140.0,191387952,1531103616
20220705194643,192.168.1.2,37274,192.168.1.3,5001,1,140.0-141.0,180875472,1447003776
20220705194644,192.168.1.2,37274,192.168.1.3,5001,1,141.0-142.0,194346216,1554769728
20220705194645,192.168.1.2,37274,192.168.1.3,5001,1,142.0-143.0,197401496,1579211968
20220705194646,192.168.1.2,37274,192.168.1.3,5001,1,143.0-144.0,188823544,1510588352
20220705194647,192.168.1.2,37274,192.168.1.3,5001,1,144.0-145.0,185928992,1487431936
20220705194648,192.168.1.2,37274,192.168.1.3,5001,1,145.0-146.0,192414584,1539316672
20220705194649,192.168.1.2,37274,192.168.1.3,5001,1,146.0-147.0,188276200,1506209600
20220705194650,192.168.1.2,37274,192.168.1.3,5001,1,147.0-148.0,189589536,1516716288
20220705194651,192.168.1.2,37274,192.168.1.3,5001,1,148.0-149.0,195270040,1562160320
20220705194652,192.168.1.2,37274,192.168.1.3,5001,1,149.0-150.0,179152352,1433218816
20220705194653,192.168.1.2,37274,192.168.1.3,5001,1,150.0-151.0,197617248,1580937984
20220705194654,192.168.1.2,37274,192.168.1.3,5001,1,151.0-152.0,192954688,1543637504
20220705194655,192.168.1.2,37274,192.168.1.3,5001,1,152.0-153.0,190840608,1526724864
20220705194656,192.168.1.2,37274,192.168.1.3,5001,1,153.0-154.0,195057184,1560457472
20220705194657,192.168.1.2,37274,192.168.1.3,5001,1,154.0-155.0,193616424,1548931392
20220705194658,192.168.1.2,37274,192.168.1.3,5001,1,155.0-156.0,192523184,1540185472
