Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220706200829,192.168.1.2,54076,192.168.1.3,5001,1,109.0-110.0,150817888,1206543104
20220706200830,192.168.1.2,54076,192.168.1.3,5001,1,110.0-111.0,193942224,1551537792
20220706200831,192.168.1.2,54076,192.168.1.3,5001,1,111.0-112.0,180113824,1440910592
20220706200832,192.168.1.2,54076,192.168.1.3,5001,1,112.0-113.0,198176176,1585409408
20220706200833,192.168.1.2,54076,192.168.1.3,5001,1,113.0-114.0,195633488,1565067904
20220706200834,192.168.1.2,54076,192.168.1.3,5001,1,114.0-115.0,171703840,1373630720
20220706200835,192.168.1.2,54076,192.168.1.3,5001,1,115.0-116.0,140241696,1121933568
20220706200836,192.168.1.2,54076,192.168.1.3,5001,1,116.0-117.0,140791936,1126335488
20220706200837,192.168.1.2,54076,192.168.1.3,5001,1,117.0-118.0,89961344,719690752
20220706200838,192.168.1.2,54076,192.168.1.3,5001,1,118.0-119.0,41385288,331082304
20220706200839,192.168.1.2,54076,192.168.1.3,5001,1,119.0-120.0,30800408,246403264
20220706200840,192.168.1.2,54076,192.168.1.3,5001,1,120.0-121.0,62310336,498482688
20220706200841,192.168.1.2,54076,192.168.1.3,5001,1,121.0-122.0,109027160,872217280
20220706200842,192.168.1.2,54076,192.168.1.3,5001,1,122.0-123.0,148671952,1189375616
20220706200843,192.168.1.2,54076,192.168.1.3,5001,1,123.0-124.0,59360760,474886080
20220706200844,192.168.1.2,54076,192.168.1.3,5001,1,124.0-125.0,128913992,1031311936
20220706200845,192.168.1.2,54076,192.168.1.3,5001,1,125.0-126.0,190953552,1527628416
20220706200846,192.168.1.2,54076,192.168.1.3,5001,1,126.0-127.0,190805856,1526446848
20220706200847,192.168.1.2,54076,192.168.1.3,5001,1,127.0-128.0,149526272,1196210176
20220706200848,192.168.1.2,54076,192.168.1.3,5001,1,128.0-129.0,190581416,1524651328
20220706200849,192.168.1.2,54076,192.168.1.3,5001,1,129.0-130.0,142089344,1136714752
20220706200850,192.168.1.2,54076,192.168.1.3,5001,1,130.0-131.0,159914224,1279313792
20220706200851,192.168.1.2,54076,192.168.1.3,5001,1,131.0-132.0,118611472,948891776
20220706200852,192.168.1.2,54076,192.168.1.3,5001,1,132.0-133.0,55920312,447362496
20220706200853,192.168.1.2,54076,192.168.1.3,5001,1,133.0-134.0,63381856,507054848
